600210,紫江企业,2.49亿,-10.45,44.16亿,-5.16,35.77亿,1.01亿,2.59亿,6622万,41.31亿,3.28亿,3.17亿
600178,东安动力,3087万,835.32,13.44亿,67.43,11.87亿,3450万,5825万,800万,13.08亿,3099万,3087万
600177,雅戈尔,28.76亿,41.88,69.58亿,51.83,36.52亿,8.1亿,4.14亿,4.32亿,57.3亿,31.49亿,32.32亿
600151,航天机电,-1.03亿,-4.94,28.25亿,-12.76,24.02亿,2.42亿,1.65亿,3507万,29.54亿,-1.36亿,-1.36亿
600139,西部资源,-816万,70.73,7348万,0.87,2934万,-,1101万,2276万,6351万,1189万,1180万
600128,弘业股份,2288万,340.35,15.24亿,-4.94,13.85亿,1.07亿,4699万,582万,15.5亿,520万,2877万
600112,ST天成,-5363万,38.89,7955万,-5.47,6973万,435万,1693万,3134万,1.24亿,-5348万,-5363万
600093,易见股份,2.21亿,-52.08,50.89亿,-19.07,45.82亿,47.64万,2416万,3348万,47.56亿,2.13亿,2.12亿
600077,宋都股份,1.34亿,297.74,24.31亿,432.52,18.93亿,1.15亿,1.25亿,9293万,22.89亿,2.19亿,2.19亿
600064,南京高科,14.23亿,19.11,21.34亿,169.3,12.73亿,3847万,6729万,6648万,16.53亿,17.25亿,17.22亿
600015,华夏银行,93.37亿,-11.44,476亿,19.56,-,-,118亿,-,355亿,120亿,121亿
600012,皖通高速,1.1亿,-79.98,8.19亿,-44.2,6.63亿,-,4039万,4446万,7.56亿,1.04亿,9792万
600010,包钢股份,8407万,-91.93,280亿,-7.77,243亿,11.47亿,6.37亿,11.75亿,276亿,3.51亿,3.15亿
300891,惠云钛业,4665万,-15.61,4.25亿,-16.14,3.25亿,1046万,1747万,164万,3.7亿,5573万,5425万
300890,翔丰华,2774万,-38.15,2.11亿,-32.58,1.48亿,608万,643万,248万,1.72亿,3178万,3182万
300347,泰格医药,9.99亿,183.66,14.52亿,8.58,7.48亿,3976万,1.82亿,864万,10.56亿,11.26亿,11.26亿
300309,吉艾科技,-3.53亿,11.97,-1160万,-102.43,2.2亿,996万,3226万,1706万,2.8亿,-3.79亿,-3.79亿
300084,海默科技,-5.74亿,-1867,1.29亿,-35.72,1.02亿,4445万,4750万,2283万,2.33亿,-5.87亿,-5.85亿
2991,甘源食品,6876万,26.05,4.9亿,9.21,2.9亿,8847万,1889万,-14.24万,4.07亿,9231万,9209万
2969,嘉美包装,-2677万,-140.33,5.83亿,-49.84,5.43亿,573万,6916万,2268万,6.48亿,-3994万,-3921万
2966,苏州银行,14.98亿,4.8,54.2亿,11.94,-,-,14.07亿,-,34.93亿,19.27亿,19.12亿
2960,青鸟消防,1.45亿,3.5,8.44亿,-8.96,4.82亿,7792万,5226万,358万,6.73亿,1.57亿,1.69亿
2941,新疆交建,9798万,1438,18.72亿,14.35,17.91亿,743万,5559万,3344万,18.96亿,1.25亿,1.26亿
2936,郑州银行,24.18亿,-2.08,77.08亿,23.2,-,-,13.43亿,-,46.22亿,30.86亿,30.82亿
2919,名臣健康,1600万,22.89,2.39亿,3.22,1.5亿,3928万,2112万,-39.7万,2.2亿,1743万,1795万
2905,金逸影视,-3.14亿,-668.58,6771万,-93.33,3.2亿,4636万,3392万,-394万,3.97亿,-3.2亿,-3.19亿
2891,中宠股份,4612万,186.31,9.88亿,25.58,7.46亿,1.01亿,3839万,1086万,9.12亿,6587万,6815万
2867,周大生,3.31亿,-30.43,16.73亿,-29.97,9.08亿,2.73亿,4644万,-690万,12.52亿,4.28亿,4.27亿
2866,传艺科技,8214万,92.61,7.79亿,12.58,5.81亿,3337万,3952万,-239万,6.81亿,9759万,9684万
2855,捷荣技术,633万,-76.38,10.34亿,-21.76,8.8亿,1638万,8416万,335万,10.17亿,307万,265万
2833,弘亚数控,1.46亿,-11.91,7.3亿,11.04,4.97亿,1687万,3226万,139万,5.8亿,1.74亿,1.74亿
